,date,0
2013-06-13,2013-05-09,0.0
2013-06-13,2013-05-10,0.0
2013-06-13,2013-05-13,0.0
2013-07-11,2013-05-13,0.0
2013-06-13,2013-05-14,0.0
2013-07-11,2013-05-14,-1.1000000000000005
2013-06-13,2013-05-15,0.0
2013-07-11,2013-05-15,0.10000000000000053
2013-06-13,2013-05-16,0.0
2013-07-11,2013-05-16,-1.5499999999999998
2013-06-13,2013-05-20,0.0
2013-06-13,2013-05-21,0.0
2013-06-13,2013-05-22,0.0
2013-06-13,2013-05-23,0.0
2013-06-13,2013-05-24,0.0
2013-06-13,2013-05-27,0.0
2013-06-13,2013-05-28,0.0
2013-06-13,2013-05-29,0.0
2013-06-13,2013-05-30,0.0
2013-06-13,2013-05-31,0.0
2013-06-13,2013-06-03,0.0
2013-06-13,2013-06-04,0.0
2013-06-13,2013-06-05,0.0
2013-08-08,2013-06-05,0.0
2013-06-13,2013-06-07,0.0
2013-08-08,2013-06-07,1.5999999999999996
2013-06-13,2013-06-10,0.0
2013-08-08,2013-06-10,-0.18000000000000016
2013-06-13,2013-06-11,0.0
2013-08-08,2013-06-11,0.6800000000000002
2013-06-13,2013-06-12,0.0
2013-06-13,2013-06-13,0.0
2013-09-12,2013-07-01,0.0
2013-09-12,2013-07-02,0.0
2013-09-12,2013-07-03,0.0
2013-09-12,2013-07-04,0.0
2013-09-12,2013-07-05,0.0
2013-09-12,2013-07-08,0.0
2013-09-12,2013-07-09,0.0
2013-09-12,2013-07-10,0.0
2013-09-12,2013-07-11,0.0
2013-09-12,2013-07-12,0.0
2013-09-12,2013-07-15,0.0
2013-09-12,2013-07-16,0.0
2013-09-12,2013-07-17,0.0
2013-09-12,2013-07-18,0.0
2013-09-12,2013-07-19,0.0
2013-09-12,2013-07-22,0.0
2013-09-12,2013-07-23,0.0
2013-09-12,2013-07-24,0.0
2013-09-12,2013-07-25,0.0
2013-09-12,2013-07-26,0.0
2013-09-12,2013-07-29,0.0
2013-09-12,2013-07-30,0.0
